n_nodes,n_edges,mdl_bits,mdl_per_edge,mdl_per_node,place,radius_m
360,759,5955.05789122663,7.845926075397404,16.54182747562953,"Los Angeles, California, USA",2500.0
533,1152,9653.952425398164,8.380167035935905,18.112481098308,"Los Angeles, California, USA",3000.0
762,1714,15152.909699556569,8.840670769869643,19.885708267134603,"Los Angeles, California, USA",3500.0
1100,2577,24000.63679939281,9.31340194000497,21.818760726720736,"Los Angeles, California, USA",4000.0
1439,3411,33035.651265047345,9.685034085326105,22.95736710566181,"Los Angeles, California, USA",4500.0
1804,4331,43281.654329377954,9.993455167254202,23.99204785442237,"Los Angeles, California, USA",5000.0
2190,5389,55172.8059830944,10.238041563016218,25.19306209273717,"Los Angeles, California, USA",5500.0
2638,6582,69024.97014247447,10.48692952635589,26.16564448160518,"Los Angeles, California, USA",6000.0
3143,7918,84928.55780773812,10.726011342225073,27.021494689067172,"Los Angeles, California, USA",6500.0
3661,9332,101992.87336862623,10.929369199381293,27.859293463159307,"Los Angeles, California, USA",7000.0
4172,10750,119351.39582696311,11.10245542576401,28.607717120556835,"Los Angeles, California, USA",7500.0
4768,12479,140672.3026513324,11.272722385714593,29.50341918022911,"Los Angeles, California, USA",8000.0
5406,14354,164112.80706589163,11.433245580736493,30.357529978892273,"Los Angeles, California, USA",8500.0
6161,16500,191557.61924086345,11.609552681264452,31.091968713011436,"Los Angeles, California, USA",9000.0
6943,18694,220109.26455675735,11.774326765633752,31.702328180434588,"Los Angeles, California, USA",9500.0
7677,20872,248488.85405960405,11.905368630682448,32.36796327466511,"Los Angeles, California, USA",10000.0
56,135,660.0724799676786,4.88942577753836,11.787008570851404,"Washington, D.C., USA",500.0
207,522,3537.578302326122,6.77696992782782,17.089750252783197,"Washington, D.C., USA",1000.0
424,1063,8326.073764294953,7.832618781086504,19.636966425223946,"Washington, D.C., USA",1500.0
673,1721,14585.371415553987,8.474939811478203,21.672171494136684,"Washington, D.C., USA",2000.0
986,2502,22616.90329247549,9.039529693235608,22.93803579358569,"Washington, D.C., USA",2500.0
1400,3514,33602.96384584444,9.562596427388856,24.00211703274603,"Washington, D.C., USA",3000.0
1924,4806,48200.501463811175,10.029234595050182,25.052235688051546,"Washington, D.C., USA",3500.0
2508,6335,65859.79708158725,10.39617949196326,26.25988719361533,"Washington, D.C., USA",4000.0
3206,8100,87079.198393251,10.750518320154445,27.161322019105118,"Washington, D.C., USA",4500.0
3926,9932,109661.37343213998,11.041217623050743,27.932086966923073,"Washington, D.C., USA",5000.0
4593,11709,131804.60145656997,11.256691558337174,28.696843339118217,"Washington, D.C., USA",5500.0
5159,13302,151750.41121420907,11.408089852218394,29.414694943634245,"Washington, D.C., USA",6000.0
5601,14489,166942.80592789885,11.522037816819577,29.805892863399187,"Washington, D.C., USA",6500.0
5970,15457,179500.36519871934,11.612885113457939,30.067062847356674,"Washington, D.C., USA",7000.0
6474,16749,196482.3744647535,11.730991370514866,30.34945543168883,"Washington, D.C., USA",7500.0
6996,18167,215052.76484392607,11.837549669396491,30.73938891422614,"Washington, D.C., USA",8000.0
7416,19348,230530.39447476668,11.914946995801461,31.08554402302679,"Washington, D.C., USA",8500.0
7872,20592,247047.6779965167,11.997264859970702,31.383089176386775,"Washington, D.C., USA",9000.0
8344,21960,265112.6134286716,12.072523380176303,31.772844370646165,"Washington, D.C., USA",9500.0
8860,23495,285422.3368946507,12.148216084045572,32.21471071045719,"Washington, D.C., USA",10000.0
37,72,329.1258346099592,4.571192147360545,8.895292827296196,"Seattle, Washington, USA",500.0
126,311,1889.672816673164,6.0761183815857365,14.997403306929874,"Seattle, Washington, USA",1000.0
324,824,6114.092690491253,7.420015401081618,18.870656452133495,"Seattle, Washington, USA",1500.0
577,1512,12422.927274042566,8.216221742091644,21.530203247907394,"Seattle, Washington, USA",2000.0
918,2390,21268.42985548498,8.898924625725934,23.168224243447693,"Seattle, Washington, USA",2500.0
1346,3585,33770.44941424095,9.419930101601382,25.089486934800114,"Seattle, Washington, USA",3000.0
1847,4888,48326.43991714987,9.88675121054621,26.164829408310705,"Seattle, Washington, USA",3500.0
2328,6179,63130.9752904571,10.217021409687183,27.118116533701503,"Seattle, Washington, USA",4000.0
2842,7546,79268.64308689305,10.504723441146707,27.891851895458498,"Seattle, Washington, USA",4500.0
